SalesYear,SalesMonth,OrderCount,TotalSales
2011,5,43,567020.9498
2011,6,141,507096.4690
2011,7,231,2292182.8828
2011,8,250,2800576.1723
2011,9,157,554791.6082
2011,10,327,5156269.5291
2011,11,230,815313.0152
2011,12,228,1462448.8986
2012,1,336,4458337.4444
2012,2,219,1649051.9001
2012,3,304,3336347.4716
2012,4,269,1871923.5039
2012,5,293,3452924.4537
2012,6,390,4610647.2153
2012,7,385,3840231.4590
2012,8,285,2442451.1831
2012,9,352,3881724.1860
2012,10,321,2858060.1970
2012,11,383,2097153.1292
2012,12,378,3176848.1687
2013,1,400,2340061.5521
2013,2,325,2600218.8667
2013,3,441,3831605.9389
2013,4,428,2840711.1734
2013,5,428,3658084.9461
2013,6,719,5726265.2635
2013,7,1740,5521840.8445
2013,8,1789,3733973.0032
2013,9,1791,5083505.3374
2013,10,1968,5374375.9418
2013,11,2103,3694667.9998
2013,12,2050,4560577.0958
2014,1,2141,4798027.8709
2014,2,1756,1478213.2920
2014,3,2399,8097036.3137
2014,4,2115,1985886.1496
2014,5,2411,6006183.2110
2014,6,939,54151.4785
